objectid,filename,title,creator,editor,date,subject,description,source,identifier,format,language,rights,rightsstatement
coll026,welty.jpeg,"One Time, One Place ",Eudora Welty, ,1971,Photography, Note: ,Mississippi Department of Archives and History,W.2005.1.26,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll027,welty.jpeg,Losing Battles,Eudora Welty, ,1971,Fiction, Note: Last novel,Mississippi Department of Archives and History,W.2005.1.27,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll028,welty.jpeg,Ancestors,William Maxwell, ,1971,Non-fiction," ""May 27, 1971 / Eudora with love from / Bill"" Note: ",Mississippi Department of Archives and History,W.2005.1.28,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll029,welty.jpeg,The Eye of Story: Selected Essays and Reviews,Eudora Welty, ,1978,Non-fiction, Note: Lemuria sticker on title page,Mississippi Department of Archives and History,W.2005.1.29,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll030,welty.jpeg,The Robber Bridegroom,Eudora Welty, ,1942,Fiction, Note: Pages marked throughout,Mississippi Department of Archives and History,W.2005.1.30,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll031,welty.jpeg,The Bride of the Innisfallen and Other Stories,Eudora Welty, ,1955,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.31,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll032,welty.jpeg,The Eye of Story: Selected Essays and Reviews,Eudora Welty, ,1978,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.32,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll033,welty.jpeg,The Golden Apples,Eudora Welty, ,1949,Fiction," Note: Christmas card located inside back cover. Front has ""Season's Greetings"" ""Penny Fitzgerald"". Inside has an excerpt from a letter from Robert Fitzgerald to William Maxwell.  ",Mississippi Department of Archives and History,W.2005.1.33,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll034,welty.jpeg,The Folded Leaf,William Maxwell, ,1945,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.34,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll035,welty.jpeg,They Came Like Swallows,William Maxwell, ,1960,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.35,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll036,welty.jpeg,The Robber Bridegroom,Eudora Welty, ,1948,Fiction, Note: Back of book contains advertisement to buy war bonds,Mississippi Department of Archives and History,W.2005.1.36,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll037,welty.jpeg,The Wide Net and Other Stories,Eudora Welty, ,1943,Fiction," Note: Page 57 crossed out. p. 64 ""lighted ox"" marked through and ""skimmed"" added with line at bottom of page under slight pencil.",Mississippi Department of Archives and History,W.2005.1.37,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll038,welty.jpeg,Delta Wedding,Eudora Welty, ,1946,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.38,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll039,welty.jpeg,A Curtain of Green,Eudora Welty, ,1941,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.39,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll040,welty.jpeg,Private Contentment,Reynolds Price, ,1984,Fiction," ""for Eudora with/ all but thirty years of happy/ memories as with the/ best love/ from/ illegible signature. Note: ",Mississippi Department of Archives and History,W.2005.1.40,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll041,welty.jpeg,Uncle Valentine and Other Stories,Willa Cather, ,1973,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.41,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll042,welty.jpeg,A Curtain of Green and Other Stories,Eudora Welty, ,1979,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.42,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll043,welty.jpeg,The Collected Essays and Occasional Writings of Katherine Anne Porter,Katherine Anne Porter,A Seymour Lawrence Book Delacorte Press ,1970,Anthology,"""For Eudora my changeless dearly loved friend from all these changing  years, whose genius and human tenderness blown fresh as spring in all seasons.  Katherine Anne Porter 6 July, 1970.  The heart  has its reason which reason does not know. Note: ",Mississippi Department of Archives and History,W.2005.1.43,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll044,welty.jpeg,The Widows of Thornton,Peter Taylor, ,1954,Fiction,"

On first page in cursive, ""Eudora Welty.""  Eudora Welty's signature is on last page, upside down. Note: ",Mississippi Department of Archives and History,W.2005.1.44,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll045,welty.jpeg,Happy Families are all Alike,Peter Taylor, ,1959,Fiction,"For Eudora with love from Frank April 13, 1960"" Note: ",Mississippi Department of Archives and History,W.2005.1.45,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll046,welty.jpeg,Five Stories,Willa Cather, ,1956,Fiction, Note: ,Mississippi Department of Archives and History,W. 2005 1.46,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll047,welty.jpeg,Early Stories of Willa Cather,Willa Cather, ,1957,Fiction, Note: Commentary by,Mississippi Department of Archives and History,W.2005.1.47,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll048,welty.jpeg,A Lost Lady,Willa Cather, ,1969,Fiction, Note: ,Mississippi Department of Archives and History,W.2005. 1.48,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll049,welty.jpeg,On Writing,Willa Cather, ,1949,Non-fiction,"""To Eudora/from Stephen/September, 1949.""  Note: ",Mississippi Department of Archives and History,W.2005 1.49,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll050,welty.jpeg,Willa Cather in Europe: Her Own Story of the First Journey,Willa Cather, ,1956,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005. 1.50,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll051,welty.jpeg,Not Under Forty,Willa Cather, ,1970,Non-fiction,"""R/L"" inside front jacket; ""77, 78, 79, 80"" written on last page. Note: 

Papers were found in between pages 16 and 17, 18 and 19, and 86 and 87.  ",Mississippi Department of Archives and History,W.2005. 1.51,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll052,welty.jpeg,The Source of Light,Reynolds Price, ,1981,Fiction,For Eudora/ With love for her/ life and works/ Love Reynolds/ 8 April 1983 Note: ,Mississippi Department of Archives and History,W.2005.1.52,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll053,welty.jpeg,Vital Protections,Reynolds Price, ,1982,Poetry,For Eudora/ with long years of/ happy memory and/ many more of hope/ and the best love from/ Reynolds Price/ 29 Oct 82 Note: ,Mississippi Department of Archives and History,W2005.1.53,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll054,welty.jpeg,A Palpable God,Reynolds Price, ,1978,Religous,"For Eudora, in the memory/ of many happy days and many/ blessings, with the best love/ from Reynolds/ 17-?-78 Note: ",Mississippi Department of Archives and History,W.2005.1.54,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll055,welty.jpeg,A Generous Man,Reynolds Price, ,1966,Fiction,"Eudora- In recollection of loyalty and much laughter with thanks for a flawless example and with best love, strongest hope/ from/ Reynolds/ 12 February 1966 Note: ",Mississippi Department of Archives and History,W.2005.1.55,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll056,welty.jpeg,The Good News According to Mark,Reynolds Price, ,1976,Religous,for Eudora/ with love as (word illegible)/ 2 all the warm good hopes at Christmas/ from/ Reynolds/ 1976 Note: ,Mississippi Department of Archives and History,W.2005.1.56,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll057,welty.jpeg,Things Themselves,Reynolds Price, ,1972,Non-fiction,"To Eudora - Who has provided morals? In every good send, for more than one of these pieces - and for much more than these.  WIth best love and thanks/ from Reynolds Price/ 29 April 1972 Note: ",Mississippi Department of Archives and History,W.2005.1.57,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll058,welty.jpeg,Love and Work,Reynolds Price, ,1968,Fiction,"Inscription on the title page reads: Eudora/ The happiest memories,/ best thanks,/ best hopes,/ love Reynolds/ 4 April 68 Note: ",Mississippi Department of Archives and History,W..2005.1.58,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll059,welty.jpeg,Bright Center of Heaven,William Maxwell, ,1934,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.59,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll060,welty.jpeg,A Long and Happy Life,Reynolds Price, ,1962,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.60,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll061,welty.jpeg,Over by the River,William Maxwell, ,1977,Fiction,For- to put it quite simply - as/ my aunts used to do - for my Eudora/ Bill/ October 1977 Note: ,Mississippi Department of Archives and History,W.2005.1.61,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll062,welty.jpeg,Time Will Darken It,William Maxwell, ,1948,Fiction, Note: ,Mississippi Department of Archives and History,W. 2005.1.62,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll063,welty.jpeg,The Chateau,William Maxwell, ,1961,Fiction,"""March 1961 / Eudora from Bill, / devotedly."" Note: ",Mississippi Department of Archives and History,W.2005.1.63,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll064,welty.jpeg,The Surface of Earth,Reynolds Price, ,1975,Fiction,"""for Eudora / with love & hope / from Reynolds / 2 June 75"" Note: ",Mississippi Department of Archives and History,W.2005.1.64,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll065,welty.jpeg,The Thanatos Syndrome,Walker Percy, ,1987,Fiction,"""for Eudora - / from a old friend / Walker"" Note: Signed",Mississippi Department of Archives and History,W. 2005.1.65,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll066,welty.jpeg,Early Dark,Reynolds Price, ,1977,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.66,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll067,welty.jpeg,The Names and Faces of Heroes,Reynolds Price, ,1963,Fiction,"Eudora, who saw most of those(?) at the start, with love and loving thanks from Reynolds. - Durham 25 May 63 Note: ",Mississippi Department of Archives and History,W.2005.1.67,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll068,welty.jpeg,Oracles: Six Versions from the Bible,Reynolds Price, ,1977,,"For Eudora as we go to Oxford with the best love from Reynolds - xi-77

 Note: ""Edition of 300 copies each signed and numbered ... no. 258.""",Mississippi Department of Archives and History,W.2005.1.68,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll069,welty.jpeg,Nine Mysteries,Reynolds Price, ,1979,Poetry,"""for Eudora, as though it were Christmas 1975, with as much love as ever.  from Reynolds"" Note: ""This first edition ... is limited to 309 signed copies. Nine specially bound copies, each with a drawing by the author, are lettered A-I. Christmas 1979""",Mississippi Department of Archives and History,W.2005.1.69,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll070,welty.jpeg,Mustian,Reynolds Price, ,1983,Fiction,"""for Eudora with long years of good memory, thanks, and love from Reynolds 4-83"" Note: Unmailed postcard inside. Marx Brothers postcard to Eudora on her birthday. Durham, 6 Apr. 83 from Reynolds Price.",Mississippi Department of Archives and History,W.2005.1.70,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll071,welty.jpeg,Permanent Errors,Reynolds Price, ,1970,Fiction,"""Thankfully and with love from Reynolds"" Orange County 21 August 1970 Note: Contained Christmas card to Eudora Welty from Reynolds Price sent through mail. Card is from 1972, Fourth Eclogue of Vergil translated by Reynolds Price for his friends.",Mississippi Department of Archives and History,W.2005.1.71,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll072,welty.jpeg,The Never-Ending Wrong,Katherine Anne Porter, ,1977,Non-fiction, Note: ,Mississippi Department of Archives and History,W.2005 1.72,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll073,welty.jpeg,The Poison Tree,Walter Clemons, ,1959,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.73,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll074,welty.jpeg,Searching for Caleb,Anne Tyler, ,1976,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.74,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll075,welty.jpeg,A Piece of My Heart,Richard Ford, ,1976,Fiction,"or Eudora Welty/ with affection &/ with my lifetime/ admiration and gratitude/ to you for your work/ Richard

 Note: ",Mississippi Department of Archives and History,W.2005.1.75,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll076,welty.jpeg,The Days Before,Katherine Anne Porter, ,1952,Non-fiction,"Dear Eudora, this is/ for  remembrance? house?/ and any same affection/ Katherine Anne/ 28 September 1952/ New York Note: ",Mississippi Department of Archives and History,W.2005.1.76,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll077,welty.jpeg,The Salt Line,Elizabeth Spencer, ,1984,Fiction," Note: Card from Lemuria Bookstore, in between pages 208 & 209",Mississippi Department of Archives and History,W.2005.1.77,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll078,welty.jpeg,The Sportswriter,Richard Ford, ,1986,Fiction," For Reynolds Price, with old admiration for your work. Richard Ford  March 22, 1986

 Note: ",Mississippi Department of Archives and History,W.2005.1.78,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll079,welty.jpeg,Ship Island and Other Stories,Elizabeth Ann Spencer, ,1968,Fiction," Book is dedicated to Eudora Welty. 

Inscription on dedication page: -a great writer - and/ friend, besides/ with love,/ Elizabeth/ 4 Oct. 1968/ Montreal Note: ",Mississippi Department of Archives and History,W.2005.1.79,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll080,welty.jpeg,Everything that Rises Must Converge,Flannery O'Connor, ,1965,Fiction,"""Welty"" on inside front cover. Note: ",Mississippi Department of Archives and History,W.2005.1.80,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll081,welty.jpeg,Celestial Navigation,Anne Tyler, ,1974,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.81,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll082,welty.jpeg,Knights and Dragons,Elizabeth Spencer, ,1965,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.82,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll083,welty.jpeg,Lost in the Cosmos,Walker Percy, ,1983,Non-fiction,"Inscription on title page: ""Walker Percy"" Note: ",Mississippi Department of Archives and History,W.2005.1.83,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll084,welty.jpeg,Lancelot,Waker Percy, ,1977,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.84,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll085,welty.jpeg,No PLace for an Angel,Elizabeth Spencer, ,1967,Fiction,"""For Eudora With devotion and love for books and her.  Elizabeth  Jackson 19 Sept. 1967""  Inscription on title page is ""Eudora Welty"" Note: ",Mississippi Department of Archives and History,W.2005.1.85,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll086,welty.jpeg,Mystery and Manners,Flannery O'Connor, ,1974,Anthology, Note: ,Mississippi Department of Archives and History,W.2005.1.86,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll087,welty.jpeg,The Leaning Tower and Other Stories,Katherine Anne Porter, ,1944,Fiction,"Eudora!/ Katherine Anne,/ The same-/ September 18, 1944 Note: ",Mississippi Department of Archives and History,W.2005.1.87,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll088,welty.jpeg,Flowering Judas and Other Stories,Katherine Anne Porter, ,1940,Fiction,"""To Eudora/ from Katherine Anne/ at Saratoga Springs/ August 29 1940/ with love and many/ good hopes for her/ life"" Note: ",Mississippi Department of Archives and History,W.2005.1.88,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll089,welty.jpeg,"Pale Horse, Pale Rider ",Katherine Anne Porter, ,1939,Fiction,"

""Eudora Welty"" on front fly page. Note: ",Mississippi Department of Archives and History,W.2005.1.89,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll090,welty.jpeg,Ship of Fools,Katherine Anne Porter, ,1962,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.90,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll091,welty.jpeg,Everything that Rises Must Converge,Flannery O'Connor, ,1976,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.91,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll092,welty.jpeg,This Crooked Way,Elizabeth Spencer, ,1952,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.92,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll093,welty.jpeg,A Slipping-Down Life,Anne Tyler, ,1970,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.93,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll094,welty.jpeg,The Second Coming,Walker Percy, ,1981,Fiction,"Inscribed on title page ""Walker Percy."" Note: ""Privately printed exclusively for members of the First Edition Society.""",Mississippi Department of Archives and History,W.2005.1.94,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll095,welty.jpeg,Earthly Possesions,Anne Tyler, ,1977,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.95,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll096,welty.jpeg,Morgan's Passing,Anne Tyler, ,1980,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.96,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll097,welty.jpeg,The Accidental Tourist,Anne Tyler, ,1985,Fiction,"


Inscription on front fly pages reads ""Eudora Welty  September 1985"" Note: ",Mississippi Department of Archives and History,W.2005.1.97,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll098,welty.jpeg,The Accidental Tourist,Anne Tyler, ,1985,Fiction, Note: ,Mississippi Department of Archives and History,W..2005.1.98,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll099,welty.jpeg,Rock Springs Stories,Richard Ford, ,1987,Fiction,"""This book is for Eudora. / with love, and life-long / adoration and gratitude / to you.  From your friend. / Richard / October 22, 1987 'The Coach'.""

 Note: Article from August Issue of Harper's Magazine page 72-76 ""First Things First: One more writer's beginnings""  by Richard Ford.",Mississippi Department of Archives and History,W.2005.1.99,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll100,welty.jpeg,Dinner at the Homesick Restaurant,Anne Tyler, ,1982,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.100,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll101,welty.jpeg,The Laws of Ice,Reynolds Price, ,1986,Poetry, Note: ,Mississippi Department of Archives and History,W.2005.1.101,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll102,welty.jpeg,Fire in the Morning,Elizabeth Spencer, ,1948,Fiction,"""For Eudora Welty / In appreciation of her [intrest] ? and help and with every good wish - / Elizabeth Spencer"" Note: ",Mississippi Department of Archives and History,W.2005.1.102,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll103,welty.jpeg,Good Hearts,Reynolds Price, ,1988,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.103,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll104,welty.jpeg,The Voice at the Back Door,Elizabeth Spencer, ,1956,Fiction, Note: ,Mississippi Department of Archives and History,W.2005.1.104,image/jpg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
